熟語	読み	構成（原典のまま）	flag
乾湿	かんしつ	対になる漢字の組み合わせ	
官製	かんせい	上下で主語・述語の関係	
岩石	がんせき	意味が似た漢字の組み合わせ	
寒暖	かんだん	対になる漢字の組み合わせ	
願望	がんぼう	意味が似た漢字の組み合わせ	
陥没	かんぼつ	意味が似た漢字の組み合わせ	
緩慢	かんまん	意味が似た漢字の組み合わせ	DUP: размечено и как 類義, и как 対義 — противоречие
緩慢	かんまん	対になる漢字の組み合わせ	DUP: размечено и как 類義, и как 対義 — противоречие
寒冷	かんれい	意味が似た漢字の組み合わせ	
奇怪	きかい	意味が似た漢字の組み合わせ	
奇遇	きぐう	上下が修飾・被修飾の関係	
帰国	きこく	下の字が上の字の目的語・補語	
机上	きじょう	上下が修飾・被修飾の関係	
既成	きせい	上下が修飾・被修飾の関係	
犠牲	ぎせい	意味が似た漢字の組み合わせ	
基礎	きそ	意味が似た漢字の組み合わせ	
吉凶	きっきょう	対になる漢字の組み合わせ	
喫茶	きっさ	下の字が上の字の目的語・補語	
急病	きゅうびょう	上下が修飾・被修飾の関係	
貴賓	きひん	上下が修飾・被修飾の関係	
起伏	きふく	対になる漢字の組み合わせ	
救助	きゅうじょ	意味が似た漢字の組み合わせ	
求人	きゅうじん	下の字が上の字の目的語・補語	
急逝	きゅうせい	上下が修飾・被修飾の関係	
及落	きゅうらく	対になる漢字の組み合わせ	
脅威	きょうい	意味が似た漢字の組み合わせ	
強弱	きょうじゃく	対になる漢字の組み合わせ	
競争	きょうそう	意味が似た漢字の組み合わせ	
仰天	ぎょうてん	下の字が上の字の目的語・補語	
強風	きょうふう	上下が修飾・被修飾の関係	
享楽	きょうらく	下の字が上の字の目的語・補語	
曲線	きょくせん	上下が修飾・被修飾の関係	
去就	きょしゅう	対になる漢字の組み合わせ	
禁煙	きんえん	下の字が上の字の目的語・補語	
偶発	ぐうはつ	上下が修飾・被修飾の関係	
屈伸	くっしん	対になる漢字の組み合わせ	
苦楽	くらく	対になる漢字の組み合わせ	
軽傷	けいしょう	上下が修飾・被修飾の関係	
計測	けいそく	意味が似た漢字の組み合わせ	
携帯	けいたい	意味が似た漢字の組み合わせ	
慶弔	けいちょう	対になる漢字の組み合わせ	
激流	げきりゅう	上下が修飾・被修飾の関係	
傑作	けっさく	上下が修飾・被修飾の関係	
減刑	げんけい	下の字が上の字の目的語・補語	
堅固	けんご	意味が似た漢字の組み合わせ	
減少	げんしょう	意味が似た漢字の組み合わせ	
厳封	げんぷう	上下が修飾・被修飾の関係	
懸命	けんめい	下の字が上の字の目的語・補語	
県立	けんりつ	上下で主語・述語の関係	
好悪	こうお	対になる漢字の組み合わせ	
高温	こうおん	上下が修飾・被修飾の関係	
公害	こうがい	上下が修飾・被修飾の関係	
好感	こうかん	上下が修飾・被修飾の関係	
功罪	こうざい	対になる漢字の組み合わせ	
高山	こうざん	上下が修飾・被修飾の関係	
公私	こうし	対になる漢字の組み合わせ	
攻守	こうしゅ	対になる漢字の組み合わせ	
行進	こうしん	意味が似た漢字の組み合わせ	
後退	こうたい	上下が修飾・被修飾の関係	
高低	こうてい	対になる漢字の組み合わせ	
幸福	こうふく	意味が似た漢字の組み合わせ	
公立	こうりつ	上下で主語・述語の関係	
呼応	こおう	対になる漢字の組み合わせ	
国営	こくえい	上下で主語・述語の関係	
黒板	こくばん	上下が修飾・被修飾の関係	
国立	こくりつ	上下で主語・述語の関係	
互譲	ごじょう	上下が修飾・被修飾の関係	
骨折	こっせつ	上下で主語・述語の関係	
誤謬	ごびゅう	意味が似た漢字の組み合わせ	
娯楽	ごらく	意味が似た漢字の組み合わせ	
最悪	さいあく	上下が修飾・被修飾の関係	
再会	さいかい	上下が修飾・被修飾の関係	
最高	さいこう	上下が修飾・被修飾の関係	
採光	さいこう	下の字が上の字の目的語・補語	
在宅	ざいたく	下の字が上の字の目的語・補語	
錯誤	さくご	意味が似た漢字の組み合わせ	
作文	さくぶん	下の字が上の字の目的語・補語	
左右	さゆう	対になる漢字の組み合わせ	
山岳	さんがく	意味が似た漢字の組み合わせ	
残留	ざんりゅう	意味が似た漢字の組み合わせ	
市営	しえい	上下で主語・述語の関係	
止血	しけつ	下の字が上の字の目的語・補語	
思考	しこう	意味が似た漢字の組み合わせ	
地震	じしん	上下で主語・述語の関係	
思想	しそう	意味が似た漢字の組み合わせ	
室外	しつがい	上下が修飾・被修飾の関係	
実施	じっし	上下が修飾・被修飾の関係	
室内	しつない	上下が修飾・被修飾の関係	
邪悪	じゃあく	意味が似た漢字の組み合わせ	
遮光	しゃこう	下の字が上の字の目的語・補語	DUP: строка продублирована внутри 目的補
借金	しゃっきん	（お金を借りるの意味で）下の字が上の字の目的語・補語（借りたお金の意味で）上下が修飾・被修飾の関係	
赦免	しゃめん	意味が似た漢字の組み合わせ	
縦横	じゅうおう	対になる漢字の組み合わせ	
衆寡	しゅうか	対になる漢字の組み合わせ	
就職	しゅうしょく	下の字が上の字の目的語・補語	
修業	しゅぎょう	下の字が上の字の目的語・補語	
住人	じゅうにん	上下が修飾・被修飾の関係	
需給	じゅきゅう	対になる漢字の組み合わせ	
授受	じゅじゅ	対になる漢字の組み合わせ	
受賞	じゅしょう	下の字が上の字の目的語・補語	
出発	しゅっぱつ	意味が似た漢字の組み合わせ	
出没	しゅつぼつ	対になる漢字の組み合わせ	
首尾	しゅび	対になる漢字の組み合わせ	
俊足	しゅんそく	上下が修飾・被修飾の関係	
殉難	じゅんなん	下の字が上の字の目的語・補語	
譲位	じょうい	下の字が上の字の目的語・補語	
消火	しょうか	下の字が上の字の目的語・補語	
上空	じょうくう	上下が修飾・被修飾の関係	
上下	じょうげ	対になる漢字の組み合わせ	
乗車	じょうしゃ	下の字が上の字の目的語・補語	
上流	じょうりゅう	上下が修飾・被修飾の関係	
少量	しょうりょう	上下が修飾・被修飾の関係	
植樹	しょくじゅ	下の字が上の字の目的語・補語	
叙勲	じょくん	下の字が上の字の目的語・補語	
叙景	じょけい	下の字が上の字の目的語・補語	
除湿	じょしつ	下の字が上の字の目的語・補語	
私立	しりつ	上下で主語・述語の関係	
市立	しりつ	上下で主語・述語の関係	
深海	しんかい	上下が修飾・被修飾の関係	
真偽	しんぎ	対になる漢字の組み合わせ	
新旧	しんきゅう	対になる漢字の組み合わせ	
辛苦	しんく	意味が似た漢字の組み合わせ	
深紅	しんく	上下が修飾・被修飾の関係	
辛酸	しんさん	意味が似た漢字の組み合わせ	
神授	しんじゅ	上下で主語・述語の関係	
辛勝	しんしょう	上下が修飾・被修飾の関係	
親疎	しんそ	対になる漢字の組み合わせ	
人造	じんぞう	上下で主語・述語の関係	
進退	しんたい	対になる漢字の組み合わせ	
新年	しんねん	上下が修飾・被修飾の関係	
親友	しんゆう	上下が修飾・被修飾の関係	
出納	すいとう	対になる漢字の組み合わせ	
炊飯	すいはん	下の字が上の字の目的語・補語	
頭痛	ずつう	上下で主語・述語の関係	
正確	せいかく	意味が似た漢字の組み合わせ	
生産	せいさん	意味が似た漢字の組み合わせ	
盛衰	せいすい	対になる漢字の組み合わせ	
精粗	せいそ	対になる漢字の組み合わせ	
生物	せいぶつ	上下が修飾・被修飾の関係	
惜別	せきべつ	下の字が上の字の目的語・補語	
切断	せつだん	意味が似た漢字の組み合わせ	
善悪	ぜんあく	対になる漢字の組み合わせ	
洗顔	せんがん	下の字が上の字の目的語・補語	
漸進	ぜんしん	上下が修飾・被修飾の関係	
前進	ぜんしん	上下が修飾・被修飾の関係	
潜水	せんすい	下の字が上の字の目的語・補語	
宣誓	せんせい	下の字が上の字の目的語・補語	
選択	せんたく	意味が似た漢字の組み合わせ	
潜伏	せんぷく	意味が似た漢字の組み合わせ	
善良	ぜんりょうく	意味が似た漢字の組み合わせ	
増加	ぞうか	意味が似た漢字の組み合わせ	
送迎	そうげい	対になる漢字の組み合わせ	
装飾	そうしょく	意味が似た漢字の組み合わせ	
遭難	そうなん	下の字が上の字の目的語・補語	
測量	そくりょう	意味が似た漢字の組み合わせ	
粗密	そみつ	対になる漢字の組み合わせ	
尊敬	そんけい	意味が似た漢字の組み合わせ	
損失	そんしつ	意味が似た漢字の組み合わせ	
忖度	そんたく	意味が似た漢字の組み合わせ	
損得	そんとく	対になる漢字の組み合わせ	
貸借	たいしゃく	対になる漢字の組み合わせ	
大小	だいしょう	対になる漢字の組み合わせ	
打球	だきゅう	上下が修飾・被修飾の関係	
卓抜	たくばつ	意味が似た漢字の組み合わせ	
諾否	だくひ	対になる漢字の組み合わせ	
脱帽	だつぼう	下の字が上の字の目的語・補語	
男女	だんじょ	対になる漢字の組み合わせ	
知識	ちしき	意味が似た漢字の組み合わせ	
恥辱	ちじょく	意味が似た漢字の組み合わせ	
着席	ちゃくせき	下の字が上の字の目的語・補語	
超越	ちょうえつ	意味が似た漢字の組み合わせ	
彫刻	ちょうこく	意味が似た漢字の組み合わせ	
調整	ちょうせい	意味が似た漢字の組み合わせ	
挑戦	ちょうせん	下の字が上の字の目的語・補語	
直線	ちょくせん	上下が修飾・被修飾の関係	
直角	ちょっかく	上下が修飾・被修飾の関係	
追伸	ついしん	上下が修飾・被修飾の関係	
墜落	ついらく	意味が似た漢字の組み合わせ	
通過	つうか	意味が似た漢字の組み合わせ	
停止	ていし	意味が似た漢字の組み合わせ	
徹夜	てつや	下の字が上の字の目的語・補語	
点火	てんか	下の字が上の字の目的語・補語	
天授	てんじゅ	上下で主語・述語の関係	
投球	とうきゅう	下の字が上の字の目的語・補語	
登校	とうこう	下の字が上の字の目的語・補語	
道路	どうろ	意味が似た漢字の組み合わせ	
読書	どくしょ	下の字が上の字の目的語・補語	
登山	とざん	下の字が上の字の目的語・補語	
渡米	とべい	下の字が上の字の目的語・補語	
都立	とりつ	上下で主語・述語の関係	
難易	なんい	対になる漢字の組み合わせ	
日没	にちぼつ	下の字が上の字の目的語・補語	CONFLICT: в 二字熟語の構成.docx (manab-juku) приведено как пример 主述
日照	にっしょう	上下で主語・述語の関係	
入魂	にゅうこん	下の字が上の字の目的語・補語	
忍苦	にんく	下の字が上の字の目的語・補語	
年少	ねんしょう	上下で主語・述語の関係	
燃焼	ねんしょう	意味が似た漢字の組み合わせ	
年長	ねんちょう	上下で主語・述語の関係	
媒介	ばいかい	意味が似た漢字の組み合わせ	
破戒	はかい	下の字が上の字の目的語・補語	
初雪	はつゆき	上下が修飾・被修飾の関係	
悲哀	ひあい	意味が似た漢字の組み合わせ	
比較	ひかく	意味が似た漢字の組み合わせ	
否決	ひけつ	上の字が下の字を打ち消し	
非常	ひじょう	上の字が下の字を打ち消し	
非情	ひじょう	上の字が下の字を打ち消し	
微笑	びしょう	上下が修飾・被修飾の関係	
否定	ひてい	上の字が下の字を打ち消し	
避難	ひなん	下の字が上の字の目的語・補語	
否認	ひにん	上の字が下の字を打ち消し	
非番	ひばん	上の字が下の字を打ち消し	
非凡	ひぼん	上の字が下の字を打ち消し	
表現	ひょうげん	意味が似た漢字の組み合わせ	
非力	ひりき	上の字が下の字を打ち消し	
頻発	ひんぱつ	上下が修飾・被修飾の関係	
貧富	ひんぷ	対になる漢字の組み合わせ	
不安	ふあん	上の字が下の字を打ち消し	
不穏	ふおん	上の字が下の字を打ち消し	
不遇	ふぐう	上の字が下の字を打ち消し	
腹痛	ふくつう	上下で主語・述語の関係	
不幸	ふこう	上の字が下の字を打ち消し	
夫妻	ふさい	対になる漢字の組み合わせ	
扶助	ふじょ	意味が似た漢字の組み合わせ	
不詳	ふしょう	上の字が下の字を打ち消し	
不肖	ふしょう	上の字が下の字を打ち消し	
不審	ふしん	上の字が下の字を打ち消し	
無粋	ぶすい	上の字が下の字を打ち消し	
父母	ふぼ	対になる漢字の組み合わせ	
不満	ふまん	上の字が下の字を打ち消し	
不明	ふめい	上の字が下の字を打ち消し	
不利	ふり	上の字が下の字を打ち消し	
不惑	ふわく	上の字が下の字を打ち消し	
併記	へいき	上下が修飾・被修飾の関係	
閉店	へいてん	下の字が上の字の目的語・補語	
変換	へんかん	意味が似た漢字の組み合わせ	
崩壊	ほうかい	意味が似た漢字の組み合わせ	
妨害	ぼうがい	意味が似た漢字の組み合わせ	
冒険	ぼうけん	下の字が上の字の目的語・補語	
豊富	ほうふ	意味が似た漢字の組み合わせ	
満足	まんぞく	意味が似た漢字の組み合わせ	
未開	みかい	上の字が下の字を打ち消し	
未完	みかん	上の字が下の字を打ち消し	
未刊	みかん	上の字が下の字を打ち消し	
未婚	みこん	上の字が下の字を打ち消し	
未熟	みじゅく	上の字が下の字を打ち消し	
未知	みち	上の字が下の字を打ち消し	
未定	みてい	上の字が下の字を打ち消し	
未満	みまん	上の字が下の字を打ち消し	
未明	みめい	上の字が下の字を打ち消し	
未来	みらい	上の字が下の字を打ち消し	
無益	むえき	上の字が下の字を打ち消し	
無害	むがい	上の字が下の字を打ち消し	
無休	むきゅう	上の字が下の字を打ち消し	
無限	むげん	上の字が下の字を打ち消し	
無効	むこう	上の字が下の字を打ち消し	
無罪	むざい	上の字が下の字を打ち消し	
無償	むしょう	上の字が下の字を打ち消し	
無理	むり	上の字が下の字を打ち消し	
無類	むるい	上の字が下の字を打ち消し	
猛獣	もうじゅう	上下が修飾・被修飾の関係	
洋画	ようが	上下が修飾・被修飾の関係	
幼稚	ようち	意味が似た漢字の組み合わせ	
抑揚	よくよう	対になる漢字の組み合わせ	
予知	よち	上下が修飾・被修飾の関係	
雷鳴	らいめい	上下で主語・述語の関係	
良好	りょうこう	意味が似た漢字の組み合わせ	
冷水	れいすい	上下が修飾・被修飾の関係	
廉価	れんか	上下が修飾・被修飾の関係	
老人	ろうじん	上下が修飾・被修飾の関係	
老衰	ろうすい	意味が似た漢字の組み合わせ	
和食	わしょく	上下が修飾・被修飾の関係	
湾岸	わんがん	上下が修飾・被修飾の関係	
